R,G,B,cebolla,manzana,limon,zanahoria
119,99,155,0,0,1,0
93,99,161,0,0,1,0
94,98,152,0,0,1,0
93,102,156,0,0,1,0
91,100,156,0,0,1,0
93,99,162,0,0,1,0
92,101,154,0,0,1,0
91,92,147,0,0,1,0
92,98,155,0,0,1,0
92,99,154,0,0,1,0
92,100,151,0,0,1,0
92,98,155,0,0,1,0
86,103,148,0,0,1,0
93,99,155,0,0,1,0
92,99,154,0,0,1,0
92,93,148,0,0,1,0
92,98,154,0,0,1,0
87,101,154,0,0,1,0
92,98,151,0,0,1,0
91,102,160,0,0,1,0
93,98,162,0,0,1,0
93,103,155,0,0,1,0
93,98,155,0,0,1,0
93,101,152,0,0,1,0
93,99,155,0,0,1,0
92,98,156,0,0,1,0
93,99,158,0,0,1,0
91,97,150,0,0,1,0
91,102,151,0,0,1,0
93,99,151,0,0,1,0
91,102,154,0,0,1,0
92,102,151,0,0,1,0
92,98,155,0,0,1,0
92,94,154,0,0,1,0
91,97,158,0,0,1,0
92,97,162,0,0,1,0
91,97,157,0,0,1,0
93,101,155,0,0,1,0
93,99,156,0,0,1,0
91,102,146,0,0,1,0
92,101,151,0,0,1,0
92,91,157,0,0,1,0
92,97,151,0,0,1,0
91,96,160,0,0,1,0
91,96,160,0,0,1,0
85,97,158,0,0,1,0
93,93,148,0,0,1,0
93,100,158,0,0,1,0
93,97,157,0,0,1,0
92,101,147,0,0,1,0
93,99,157,0,0,1,0
92,98,156,0,0,1,0
92,98,158,0,0,1,0
94,99,149,0,0,1,0
92,98,156,0,0,1,0
88,101,153,0,0,1,0
94,99,156,0,0,1,0
92,97,159,0,0,1,0
85,101,145,0,0,1,0
92,100,159,0,0,1,0
92,102,162,0,0,1,0
93,100,155,0,0,1,0
93,99,158,0,0,1,0
92,94,149,0,0,1,0
91,98,156,0,0,1,0
95,99,156,0,0,1,0
88,96,147,0,0,1,0
93,99,154,0,0,1,0
87,103,149,0,0,1,0
91,98,157,0,0,1,0
92,99,155,0,0,1,0
94,94,148,0,0,1,0
92,100,157,0,0,1,0
87,99,155,0,0,1,0
93,101,156,0,0,1,0
92,100,155,0,0,1,0
92,92,157,0,0,1,0
94,101,156,0,0,1,0
94,98,158,0,0,1,0
91,98,158,0,0,1,0
94,95,157,0,0,1,0
92,100,157,0,0,1,0
86,99,156,0,0,1,0
92,102,159,0,0,1,0
92,101,158,0,0,1,0
91,100,152,0,0,1,0
92,102,154,0,0,1,0
91,92,157,0,0,1,0
92,99,154,0,0,1,0
94,100,159,0,0,1,0
92,98,151,0,0,1,0
92,98,158,0,0,1,0
94,102,157,0,0,1,0
92,94,151,0,0,1,0
93,101,157,0,0,1,0
93,102,155,0,0,1,0
92,100,157,0,0,1,0
93,100,159,0,0,1,0
94,102,158,0,0,1,0
92,102,162,0,0,1,0
92,98,158,0,0,1,0
87,101,160,0,0,1,0
93,95,150,0,0,1,0
91,99,157,0,0,1,0
86,102,158,0,0,1,0
94,101,159,0,0,1,0
92,101,157,0,0,1,0
92,103,151,0,0,1,0
92,102,157,0,0,1,0
94,96,148,0,0,1,0
93,102,157,0,0,1,0
95,99,154,0,0,1,0
91,100,156,0,0,1,0
92,102,158,0,0,1,0
92,94,150,0,0,1,0
94,100,159,0,0,1,0
94,98,155,0,0,1,0
93,100,159,0,0,1,0
94,100,151,0,0,1,0
91,103,156,0,0,1,0
94,95,157,0,0,1,0
93,101,157,0,0,1,0
93,103,156,0,0,1,0
93,100,156,0,0,1,0
93,101,157,0,0,1,0
87,97,154,0,0,1,0
91,100,161,0,0,1,0
94,100,158,0,0,1,0
91,101,150,0,0,1,0
92,98,154,0,0,1,0
92,101,152,0,0,1,0
92,103,157,0,0,1,0
92,95,156,0,0,1,0
92,100,158,0,0,1,0
91,102,159,0,0,1,0
94,101,158,0,0,1,0
94,101,158,0,0,1,0
87,103,157,0,0,1,0
93,101,159,0,0,1,0
93,102,158,0,0,1,0
94,97,149,0,0,1,0
93,101,156,0,0,1,0
94,100,156,0,0,1,0
93,98,149,0,0,1,0
93,101,159,0,0,1,0
92,97,155,0,0,1,0
93,98,155,0,0,1,0
92,102,156,0,0,1,0
93,97,156,0,0,1,0
92,99,155,0,0,1,0
92,102,156,0,0,1,0
92,101,158,0,0,1,0
92,98,155,0,0,1,0
93,96,149,0,0,1,0
93,102,157,0,0,1,0
86,98,154,0,0,1,0
93,96,152,0,0,1,0
92,96,155,0,0,1,0
92,99,155,0,0,1,0
92,96,151,0,0,1,0
92,96,154,0,0,1,0
88,100,156,0,0,1,0
91,97,158,0,0,1,0
92,103,157,0,0,1,0
92,101,150,0,0,1,0
93,97,156,0,0,1,0
87,98,156,0,0,1,0
92,99,150,0,0,1,0
91,102,158,0,0,1,0
93,97,158,0,0,1,0
94,99,154,0,0,1,0
92,96,156,0,0,1,0
93,97,156,0,0,1,0
93,101,155,0,0,1,0
93,97,159,0,0,1,0
93,98,155,0,0,1,0
93,94,148,0,0,1,0
91,97,157,0,0,1,0
88,98,155,0,0,1,0
94,93,148,0,0,1,0
94,98,156,0,0,1,0
95,99,154,0,0,1,0
93,98,155,0,0,1,0
92,98,156,0,0,1,0
93,99,156,0,0,1,0
92,95,148,0,0,1,0
94,97,156,0,0,1,0
92,98,155,0,0,1,0
92,99,149,0,0,1,0
91,98,156,0,0,1,0
87,98,155,0,0,1,0
92,99,154,0,0,1,0
92,99,156,0,0,1,0
93,92,155,0,0,1,0
94,99,153,0,0,1,0
93,98,155,0,0,1,0
88,99,154,0,0,1,0
93,102,153,0,0,1,0
93,99,154,0,0,1,0
94,101,154,0,0,1,0
93,102,154,0,0,1,0
92,101,155,0,0,1,0
95,101,156,0,0,1,0
94,96,147,0,0,1,0
92,99,155,0,0,1,0
95,99,157,0,0,1,0
92,99,153,0,0,1,0
93,100,156,0,0,1,0
93,99,148,0,0,1,0
94,101,155,0,0,1,0
93,99,155,0,0,1,0
94,99,151,0,0,1,0
93,101,155,0,0,1,0
87,98,156,0,0,1,0
94,99,148,0,0,1,0
94,101,155,0,0,1,0
87,99,155,0,0,1,0
93,100,150,0,0,1,0
94,102,155,0,0,1,0
94,99,155,0,0,1,0
93,100,157,0,0,1,0
92,100,157,0,0,1,0
94,99,155,0,0,1,0
94,100,156,0,0,1,0
92,101,156,0,0,1,0
92,100,152,0,0,1,0
92,100,157,0,0,1,0
92,94,149,0,0,1,0
92,99,156,0,0,1,0
94,100,157,0,0,1,0
93,101,150,0,0,1,0
93,100,157,0,0,1,0
88,101,158,0,0,1,0
93,101,157,0,0,1,0
93,100,156,0,0,1,0
94,101,149,0,0,1,0
92,101,155,0,0,1,0
92,94,149,0,0,1,0
93,101,155,0,0,1,0
93,100,147,0,0,1,0
92,102,156,0,0,1,0
93,94,148,0,0,1,0
93,103,154,0,0,1,0
93,95,151,0,0,1,0
93,100,157,0,0,1,0
87,101,156,0,0,1,0
93,100,160,0,0,1,0
94,100,156,0,0,1,0
93,102,150,0,0,1,0
93,100,159,0,0,1,0
88,100,157,0,0,1,0
93,103,156,0,0,1,0
93,101,158,0,0,1,0
93,100,156,0,0,1,0
93,102,155,0,0,1,0
94,94,151,0,0,1,0
93,100,157,0,0,1,0
94,102,155,0,0,1,0
93,100,159,0,0,1,0
93,103,154,0,0,1,0
93,102,150,0,0,1,0
94,100,158,0,0,1,0
93,100,157,0,0,1,0
93,102,156,0,0,1,0
94,100,160,0,0,1,0
94,97,154,0,0,1,0
94,98,153,0,0,1,0
93,100,160,0,0,1,0
94,95,148,0,0,1,0
93,103,156,0,0,1,0
93,95,149,0,0,1,0
93,102,156,0,0,1,0
94,103,149,0,0,1,0
93,101,156,0,0,1,0
92,101,155,0,0,1,0
94,103,155,0,0,1,0
93,94,147,0,0,1,0
94,102,158,0,0,1,0
93,96,148,0,0,1,0
93,102,156,0,0,1,0
94,95,155,0,0,1,0
94,101,154,0,0,1,0
87,102,157,0,0,1,0
93,100,156,0,0,1,0
95,102,156,0,0,1,0
92,101,155,0,0,1,0
93,101,156,0,0,1,0
95,102,156,0,0,1,0
94,101,155,0,0,1,0
94,102,154,0,0,1,0
92,96,147,0,0,1,0
94,97,164,0,0,1,0
93,97,155,0,0,1,0
93,103,155,0,0,1,0
93,101,156,0,0,1,0
93,102,149,0,0,1,0
94,102,157,0,0,1,0
87,100,156,0,0,1,0
93,101,156,0,0,1,0
94,101,156,0,0,1,0
92,103,155,0,0,1,0
87,96,156,0,0,1,0
93,96,154,0,0,1,0
93,103,155,0,0,1,0
93,102,157,0,0,1,0
88,96,148,0,0,1,0
92,104,155,0,0,1,0
93,102,156,0,0,1,0
94,101,154,0,0,1,0
93,103,156,0,0,1,0
94,98,155,0,0,1,0
93,97,155,0,0,1,0
92,103,155,0,0,1,0
93,97,156,0,0,1,0
93,97,154,0,0,1,0
93,104,156,0,0,1,0
93,91,147,0,0,1,0
93,102,157,0,0,1,0
93,97,148,0,0,1,0
93,96,156,0,0,1,0
94,102,156,0,0,1,0
92,98,154,0,0,1,0
93,101,158,0,0,1,0
95,97,156,0,0,1,0
95,101,155,0,0,1,0
93,103,155,0,0,1,0
95,92,148,0,0,1,0
93,99,154,0,0,1,0
94,98,153,0,0,1,0
94,98,149,0,0,1,0
94,98,153,0,0,1,0
94,98,154,0,0,1,0
95,92,148,0,0,1,0
94,99,154,0,0,1,0
95,97,154,0,0,1,0
96,97,154,0,0,1,0
94,102,154,0,0,1,0
94,97,155,0,0,1,0
93,97,149,0,0,1,0
93,99,154,0,0,1,0
93,97,148,0,0,1,0
94,100,155,0,0,1,0
87,99,153,0,0,1,0
95,97,149,0,0,1,0
95,98,154,0,0,1,0
92,100,155,0,0,1,0
94,98,155,0,0,1,0
95,101,155,0,0,1,0
88,100,155,0,0,1,0
94,98,155,0,0,1,0
95,98,154,0,0,1,0
95,99,154,0,0,1,0
94,91,149,0,0,1,0
93,101,154,0,0,1,0
94,99,155,0,0,1,0
94,97,153,0,0,1,0
94,98,153,0,0,1,0
89,98,159,0,0,1,0
95,92,149,0,0,1,0
95,99,155,0,0,1,0
93,98,154,0,0,1,0
93,92,148,0,0,1,0
94,100,154,0,0,1,0
93,100,149,0,0,1,0
93,99,155,0,0,1,0
89,97,160,0,0,1,0
93,100,154,0,0,1,0
93,100,156,0,0,1,0
93,99,154,0,0,1,0
93,100,155,0,0,1,0
94,92,148,0,0,1,0
94,99,165,0,0,1,0
94,100,155,0,0,1,0
94,91,155,0,0,1,0
95,98,153,0,0,1,0
94,99,155,0,0,1,0
94,92,148,0,0,1,0
95,99,154,0,0,1,0
93,98,154,0,0,1,0
93,98,154,0,0,1,0
95,99,153,0,0,1,0
93,99,148,0,0,1,0
93,99,153,0,0,1,0
88,100,155,0,0,1,0
94,101,154,0,0,1,0
95,100,156,0,0,1,0
94,100,155,0,0,1,0
93,101,155,0,0,1,0
93,100,156,0,0,1,0
94,99,155,0,0,1,0
94,97,148,0,0,1,0
93,98,156,0,0,1,0
88,100,156,0,0,1,0
94,102,154,0,0,1,0
95,101,155,0,0,1,0
96,101,156,0,0,1,0
94,103,164,0,0,1,0
87,100,155,0,0,1,0
96,101,156,0,0,1,0
94,102,155,0,0,1,0
95,100,155,0,0,1,0
95,101,154,0,0,1,0
94,103,155,0,0,1,0
94,100,154,0,0,1,0
96,101,153,0,0,1,0
93,102,156,0,0,1,0
89,100,155,0,0,1,0
97,100,155,0,0,1,0
93,101,154,0,0,1,0
96,100,154,0,0,1,0
93,100,156,0,0,1,0
95,102,155,0,0,1,0
94,100,156,0,0,1,0
93,95,148,0,0,1,0
93,102,155,0,0,1,0
95,94,148,0,0,1,0
95,100,156,0,0,1,0
89,102,154,0,0,1,0
94,101,156,0,0,1,0
88,101,154,0,0,1,0
93,103,153,0,0,1,0
94,94,150,0,0,1,0
95,102,164,0,0,1,0
93,102,155,0,0,1,0
94,100,155,0,0,1,0
94,98,153,0,0,1,0
93,102,155,0,0,1,0
88,101,150,0,0,1,0
93,102,154,0,0,1,0
94,97,147,0,0,1,0
94,101,155,0,0,1,0
95,95,147,0,0,1,0
95,103,155,0,0,1,0
94,94,166,0,0,1,0
93,103,155,0,0,1,0
89,103,156,0,0,1,0
94,98,164,0,0,1,0
93,101,155,0,0,1,0
95,103,156,0,0,1,0
94,102,155,0,0,1,0
94,101,155,0,0,1,0
89,103,149,0,0,1,0
93,101,155,0,0,1,0
94,95,146,0,0,1,0
95,102,155,0,0,1,0
94,95,147,0,0,1,0
94,102,155,0,0,1,0
94,101,154,0,0,1,0
94,102,154,0,0,1,0
94,91,148,0,0,1,0
95,102,155,0,0,1,0
94,98,153,0,0,1,0
94,101,156,0,0,1,0
94,101,154,0,0,1,0
93,104,154,0,0,1,0
95,92,153,0,0,1,0
94,102,156,0,0,1,0
95,104,154,0,0,1,0
87,102,149,0,0,1,0
95,102,154,0,0,1,0
94,98,161,0,0,1,0
95,102,156,0,0,1,0
96,101,155,0,0,1,0
94,103,155,0,0,1,0
94,96,150,0,0,1,0
95,99,153,0,0,1,0
93,97,152,0,0,1,0
94,97,155,0,0,1,0
89,102,149,0,0,1,0
95,99,153,0,0,1,0
87,103,150,0,0,1,0
95,98,152,0,0,1,0
88,98,153,0,0,1,0
93,102,155,0,0,1,0
94,100,154,0,0,1,0
94,100,155,0,0,1,0
95,96,164,0,0,1,0
93,97,154,0,0,1,0
94,100,155,0,0,1,0
95,96,154,0,0,1,0
94,98,153,0,0,1,0
95,95,159,0,0,1,0
95,102,154,0,0,1,0
95,102,148,0,0,1,0
96,98,152,0,0,1,0
96,99,160,0,0,1,0
94,100,154,0,0,1,0
96,101,161,0,0,1,0
95,99,161,0,0,1,0
95,99,153,0,0,1,0
96,100,156,0,0,1,0
95,98,148,0,0,1,0
95,97,153,0,0,1,0
95,99,154,0,0,1,0
95,103,155,0,0,1,0
95,102,154,0,0,1,0
96,99,154,0,0,1,0
94,102,148,0,0,1,0
95,102,154,0,0,1,0
96,98,154,0,0,1,0
95,102,155,0,0,1,0
89,102,147,0,0,1,0
95,98,153,0,0,1,0
88,97,155,0,0,1,0
95,97,153,0,0,1,0
95,98,154,0,0,1,0
93,103,153,0,0,1,0
96,98,153,0,0,1,0
95,99,154,0,0,1,0
93,98,164,0,0,1,0
94,98,154,0,0,1,0
95,98,153,0,0,1,0
96,97,154,0,0,1,0
95,92,147,0,0,1,0
96,98,153,0,0,1,0
88,97,153,0,0,1,0
95,97,154,0,0,1,0
95,99,155,0,0,1,0
95,98,148,0,0,1,0
94,103,154,0,0,1,0
96,92,147,0,0,1,0
95,103,154,0,0,1,0
95,98,154,0,0,1,0
96,98,153,0,0,1,0
96,103,154,0,0,1,0
96,102,156,0,0,1,0
94,97,154,0,0,1,0
94,103,155,0,0,1,0
95,102,155,0,0,1,0
96,99,153,0,0,1,0
95,98,155,0,0,1,0
94,97,153,0,0,1,0
95,98,155,0,0,1,0
95,100,154,0,0,1,0
94,97,154,0,0,1,0
95,98,154,0,0,1,0
94,98,154,0,0,1,0
95,102,155,0,0,1,0
90,102,156,0,0,1,0
95,99,157,0,0,1,0
95,100,154,0,0,1,0
95,93,147,0,0,1,0
94,101,154,0,0,1,0
95,96,147,0,0,1,0
96,100,153,0,0,1,0
94,99,147,0,0,1,0
95,99,154,0,0,1,0
94,99,146,0,0,1,0
95,100,155,0,0,1,0
89,100,148,0,0,1,0
95,100,153,0,0,1,0
89,101,154,0,0,1,0
96,101,159,0,0,1,0
95,99,153,0,0,1,0
94,101,154,0,0,1,0
87,98,156,0,0,1,0
94,98,153,0,0,1,0
88,100,154,0,0,1,0
94,98,154,0,0,1,0
96,98,153,0,0,1,0
94,100,154,0,0,1,0
94,99,155,0,0,1,0
94,99,154,0,0,1,0
94,101,154,0,0,1,0
94,99,154,0,0,1,0
88,98,163,0,0,1,0
94,101,155,0,0,1,0
96,100,154,0,0,1,0
95,100,154,0,0,1,0
96,102,154,0,0,1,0
94,100,159,0,0,1,0
94,100,154,0,0,1,0
95,100,154,0,0,1,0
95,101,161,0,0,1,0
94,94,147,0,0,1,0
96,100,154,0,0,1,0
95,99,148,0,0,1,0
94,101,155,0,0,1,0
95,94,164,0,0,1,0
94,100,163,0,0,1,0
94,101,153,0,0,1,0
95,101,155,0,0,1,0
94,94,162,0,0,1,0
94,100,154,0,0,1,0
89,101,160,0,0,1,0
94,101,154,0,0,1,0
94,100,149,0,0,1,0
97,101,154,0,0,1,0
94,96,161,0,0,1,0
96,101,154,0,0,1,0
97,101,165,0,0,1,0
94,102,154,0,0,1,0
94,100,155,0,0,1,0
94,101,154,0,0,1,0
95,102,154,0,0,1,0
95,100,154,0,0,1,0
88,101,148,0,0,1,0
94,101,165,0,0,1,0
95,99,163,0,0,1,0
95,95,162,0,0,1,0
95,103,153,0,0,1,0
94,98,160,0,0,1,0
96,101,154,0,0,1,0
88,102,163,0,0,1,0
94,102,164,0,0,1,0
96,102,154,0,0,1,0
95,102,157,0,0,1,0
93,101,154,0,0,1,0
96,96,160,0,0,1,0
94,103,162,0,0,1,0
95,102,154,0,0,1,0
97,101,153,0,0,1,0
94,97,161,0,0,1,0
95,101,164,0,0,1,0
97,102,164,0,0,1,0
95,103,163,0,0,1,0
95,101,155,0,0,1,0
95,101,154,0,0,1,0
94,102,163,0,0,1,0
94,101,156,0,0,1,0
96,101,154,0,0,1,0
94,102,149,0,0,1,0
95,101,157,0,0,1,0
96,96,163,0,0,1,0
96,104,159,0,0,1,0
96,101,155,0,0,1,0
96,101,153,0,0,1,0
96,103,154,0,0,1,0
96,101,155,0,0,1,0
95,95,153,0,0,1,0
94,102,153,0,0,1,0
94,102,162,0,0,1,0
96,103,154,0,0,1,0
97,102,154,0,0,1,0
94,102,163,0,0,1,0
94,102,154,0,0,1,0
89,101,148,0,0,1,0
94,101,155,0,0,1,0
94,101,154,0,0,1,0
97,103,147,0,0,1,0
96,102,163,0,0,1,0
94,101,153,0,0,1,0
96,103,161,0,0,1,0
94,103,162,0,0,1,0
95,102,154,0,0,1,0
96,103,147,0,0,1,0
94,105,162,0,0,1,0
88,102,148,0,0,1,0
96,102,154,0,0,1,0
95,97,161,0,0,1,0
95,103,154,0,0,1,0
95,96,160,0,0,1,0
96,103,164,0,0,1,0
96,102,154,0,0,1,0
96,103,159,0,0,1,0
96,103,162,0,0,1,0
96,101,148,0,0,1,0
96,102,154,0,0,1,0
94,103,154,0,0,1,0
95,102,156,0,0,1,0
96,99,156,0,0,1,0
95,104,164,0,0,1,0
95,103,164,0,0,1,0
95,102,163,0,0,1,0
94,104,159,0,0,1,0
95,102,156,0,0,1,0
96,102,155,0,0,1,0
96,99,156,0,0,1,0
95,103,157,0,0,1,0
96,99,163,0,0,1,0
95,104,157,0,0,1,0
95,103,166,0,0,1,0
89,102,148,0,0,1,0
94,100,163,0,0,1,0
95,100,165,0,0,1,0
94,103,154,0,0,1,0
88,99,159,0,0,1,0
95,102,160,0,0,1,0
94,102,159,0,0,1,0
91,99,162,0,0,1,0
96,103,160,0,0,1,0
95,98,162,0,0,1,0
96,99,157,0,0,1,0
95,104,154,0,0,1,0
95,103,154,0,0,1,0
94,97,153,0,0,1,0
94,103,157,0,0,1,0
96,103,154,0,0,1,0
95,97,162,0,0,1,0
94,97,154,0,0,1,0
94,98,161,0,0,1,0
94,99,161,0,0,1,0
95,103,159,0,0,1,0
96,102,164,0,0,1,0
96,103,163,0,0,1,0
94,103,154,0,0,1,0
89,103,164,0,0,1,0
94,99,153,0,0,1,0
96,103,155,0,0,1,0
95,103,154,0,0,1,0
95,99,163,0,0,1,0
95,100,156,0,0,1,0
95,103,153,0,0,1,0
95,92,163,0,0,1,0
95,98,157,0,0,1,0
95,104,153,0,0,1,0
95,99,157,0,0,1,0
95,103,164,0,0,1,0
95,103,148,0,0,1,0
95,98,164,0,0,1,0
96,103,155,0,0,1,0
96,103,153,0,0,1,0
97,98,159,0,0,1,0
96,98,165,0,0,1,0
95,97,154,0,0,1,0
95,102,164,0,0,1,0
89,103,149,0,0,1,0
95,97,161,0,0,1,0
96,99,162,0,0,1,0
94,97,163,0,0,1,0
95,99,162,0,0,1,0
95,101,164,0,0,1,0
90,102,149,0,0,1,0
95,103,154,0,0,1,0
96,105,158,0,0,1,0
95,103,161,0,0,1,0
91,101,162,0,0,1,0
96,94,152,0,0,1,0
96,98,162,0,0,1,0
96,99,160,0,0,1,0
95,99,160,0,0,1,0
94,95,164,0,0,1,0
95,99,161,0,0,1,0
96,99,159,0,0,1,0
95,99,161,0,0,1,0
96,99,154,0,0,1,0
96,102,160,0,0,1,0
96,102,156,0,0,1,0
97,100,156,0,0,1,0
95,100,161,0,0,1,0
95,98,160,0,0,1,0
95,100,154,0,0,1,0
96,101,160,0,0,1,0
90,99,161,0,0,1,0
96,98,160,0,0,1,0
94,101,163,0,0,1,0
96,99,160,0,0,1,0
97,102,163,0,0,1,0
96,101,165,0,0,1,0
95,97,161,0,0,1,0
95,99,160,0,0,1,0
95,99,160,0,0,1,0
96,100,164,0,0,1,0
96,100,162,0,0,1,0
95,100,161,0,0,1,0
95,99,159,0,0,1,0
97,99,155,0,0,1,0
94,99,158,0,0,1,0
95,100,157,0,0,1,0
97,99,153,0,0,1,0
95,98,159,0,0,1,0
96,99,162,0,0,1,0
91,100,164,0,0,1,0
96,98,150,0,0,1,0
97,99,160,0,0,1,0
97,101,164,0,0,1,0
89,100,161,0,0,1,0
95,99,154,0,0,1,0
96,101,159,0,0,1,0
96,98,162,0,0,1,0
96,96,161,0,0,1,0
96,102,162,0,0,1,0
96,99,161,0,0,1,0
89,101,159,0,0,1,0
96,101,158,0,0,1,0
95,99,160,0,0,1,0
89,99,158,0,0,1,0
96,94,153,0,0,1,0
97,100,165,0,0,1,0
97,99,159,0,0,1,0
